"","hh_id","item_id","l_14_22","l_expenditure","elc_aggr_tier","locality"
"25",1000506120601,"House Rent","No",NA,"Tier 0",0
"26",1000506120601,"Transportation costs ","Yes",300,"Tier 0",0
"27",1000506120601,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"28",1000506120602,"Medical/pharmacy expenses ","No",NA,"Tier 0",0
"29",1000506120602,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",2500,"Tier 0",0
"30",1000506120602,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"31",1000506120602,"Electricity and other fuels ","No",NA,"Tier 0",0
"32",1000506120602,"Mobile phone top-up  or bills","Yes",400,"Tier 0",0
"33",1000506120602,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"34",1000506120602,"House Rent","No",NA,"Tier 0",0
"35",1000506120602,"Transportation costs ","Yes",4200,"Tier 0",0
"36",1000506120602,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"37",1000506120901,"Medical/pharmacy expenses ","Yes",500,"Tier 0",0
"38",1000506120901,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1000,"Tier 0",0
"39",1000506120901,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"40",1000506120901,"Electricity and other fuels ","No",NA,"Tier 0",0
"41",1000506120901,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"42",1000506120901,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"43",1000506120901,"House Rent","No",NA,"Tier 0",0
"44",1000506120901,"Transportation costs ","No",NA,"Tier 0",0
"45",1000506120901,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"46",1000506121202,"Medical/pharmacy expenses ","Yes",700,"Tier 0",0
"47",1000506121202,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1000,"Tier 0",0
"48",1000506121202,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"49",1000506121202,"Electricity and other fuels ","No",NA,"Tier 0",0
"50",1000506121202,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"51",1000506121202,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"52",1000506121202,"House Rent","No",NA,"Tier 0",0
"53",1000506121202,"Transportation costs ","No",NA,"Tier 0",0
"54",1000506121202,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"55",1000506121304,"Medical/pharmacy expenses ","Yes",300,"Tier 0",0
"56",1000506121304,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1500,"Tier 0",0
"57",1000506121304,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"58",1000506121304,"Electricity and other fuels ","No",NA,"Tier 0",0
"59",1000506121304,"Mobile phone top-up  or bills","Yes",1000,"Tier 0",0
"60",1000506121304,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"61",1000506121304,"House Rent","No",NA,"Tier 0",0
"62",1000506121304,"Transportation costs ","Yes",2000,"Tier 0",0
"63",1000506121304,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"64",1000506121604,"Medical/pharmacy expenses ","Yes",5000,"Tier 0",0
"65",1000506121604,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1300,"Tier 0",0
"66",1000506121604,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"67",1000506121604,"Electricity and other fuels ","No",NA,"Tier 0",0
"68",1000506121604,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"69",1000506121604,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"70",1000506121604,"House Rent","No",NA,"Tier 0",0
"71",1000506121604,"Transportation costs ","No",NA,"Tier 0",0
"72",1000506121604,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"73",1000506122001,"Medical/pharmacy expenses ","Yes",7000,"Tier 0",0
"74",1000506122001,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",600,"Tier 0",0
"75",1000506122001,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"76",1000506122001,"Electricity and other fuels ","No",NA,"Tier 0",0
"77",1000506122001,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"78",1000506122001,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"79",1000506122001,"House Rent","No",NA,"Tier 0",0
"80",1000506122001,"Transportation costs ","Yes",200,"Tier 0",0
"81",1000506122001,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"82",1000506122301,"Medical/pharmacy expenses ","Yes",10000,"Tier 0",0
"83",1000506122301,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",3000,"Tier 0",0
"84",1000506122301,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"85",1000506122301,"Electricity and other fuels ","Yes",3000,"Tier 0",0
"86",1000506122301,"Mobile phone top-up  or bills","Yes",1000,"Tier 0",0
"87",1000506122301,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"88",1000506122301,"House Rent","No",NA,"Tier 0",0
"89",1000506122301,"Transportation costs ","Yes",3700,"Tier 0",0
"90",1000506122301,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"91",1000506122402,"Medical/pharmacy expenses ","Yes",15000,"Tier 0",0
"92",1000506122402,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",800,"Tier 0",0
"93",1000506122402,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"94",1000506122402,"Electricity and other fuels ","Yes",2500,"Tier 0",0
"95",1000506122402,"Mobile phone top-up  or bills","Yes",200,"Tier 0",0
"96",1000506122402,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"97",1000506122402,"House Rent","No",NA,"Tier 0",0
"98",1000506122402,"Transportation costs ","No",NA,"Tier 0",0
"99",1000506122402,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"100",1000506122702,"Medical/pharmacy expenses ","Yes",200,"Tier 0",0
"101",1000506122702,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",300,"Tier 0",0
"102",1000506122702,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"103",1000506122702,"Electricity and other fuels ","No",NA,"Tier 0",0
"104",1000506122702,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"105",1000506122702,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"106",1000506122702,"House Rent","No",NA,"Tier 0",0
"107",1000506122702,"Transportation costs ","No",NA,"Tier 0",0
"108",1000506122702,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"109",1000506122801,"Medical/pharmacy expenses ","Yes",3200,"Tier 0",0
"110",1000506122801,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1050,"Tier 0",0
"111",1000506122801,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"112",1000506122801,"Electricity and other fuels ","Yes",800,"Tier 0",0
"113",1000506122801,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"114",1000506122801,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"115",1000506122801,"House Rent","No",NA,"Tier 0",0
"116",1000506122801,"Transportation costs ","Yes",2300,"Tier 0",0
"117",1000506122801,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"118",1000506122902,"Medical/pharmacy expenses ","Yes",1800,"Tier 1",0
"119",1000506122902,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1150,"Tier 1",0
"120",1000506122902,"Water supply for drinking and other uses ","No",NA,"Tier 1",0
"121",1000506122902,"Electricity and other fuels ","Yes",400,"Tier 1",0
"122",1000506122902,"Mobile phone top-up  or bills","Yes",1300,"Tier 1",0
"123",1000506122902,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 1",0
"124",1000506122902,"House Rent","No",NA,"Tier 1",0
"125",1000506122902,"Transportation costs ","Yes",2400,"Tier 1",0
"126",1000506122902,"Other recurring monthly expenditure ","No",NA,"Tier 1",0
"127",1001500180104,"Medical/pharmacy expenses ","Yes",18000,"Tier 0",0
"128",1001500180104,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",2000,"Tier 0",0
"129",1001500180104,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"130",1001500180104,"Electricity and other fuels ","No",NA,"Tier 0",0
"131",1001500180104,"Mobile phone top-up  or bills","Yes",1500,"Tier 0",0
"132",1001500180104,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"133",1001500180104,"House Rent","No",NA,"Tier 0",0
"134",1001500180104,"Transportation costs ","Yes",2000,"Tier 0",0
"135",1001500180104,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"136",1001500180107,"Medical/pharmacy expenses ","Yes",3500,"Tier 0",0
"137",1001500180107,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1400,"Tier 0",0
"138",1001500180107,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"139",1001500180107,"Electricity and other fuels ","Yes",1800,"Tier 0",0
"140",1001500180107,"Mobile phone top-up  or bills","Yes",2000,"Tier 0",0
"141",1001500180107,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"142",1001500180107,"House Rent","No",NA,"Tier 0",0
"143",1001500180107,"Transportation costs ","Yes",5000,"Tier 0",0
"144",1001500180107,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"145",1001500180201,"Medical/pharmacy expenses ","Yes",1500,"Tier 0",0
"146",1001500180201,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",2000,"Tier 0",0
"147",1001500180201,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"148",1001500180201,"Electricity and other fuels ","No",NA,"Tier 0",0
"149",1001500180201,"Mobile phone top-up  or bills","Yes",500,"Tier 0",0
"150",1001500180201,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"151",1001500180201,"House Rent","No",NA,"Tier 0",0
"152",1001500180201,"Transportation costs ","Yes",1500,"Tier 0",0
"153",1001500180201,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"154",1001500180702,"Medical/pharmacy expenses ","Yes",1000,"Tier 0",0
"155",1001500180702,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",500,"Tier 0",0
"156",1001500180702,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"157",1001500180702,"Electricity and other fuels ","No",NA,"Tier 0",0
"158",1001500180702,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"159",1001500180702,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"160",1001500180702,"House Rent","No",NA,"Tier 0",0
"161",1001500180702,"Transportation costs ","No",NA,"Tier 0",0
"162",1001500180702,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"163",1001500181501,"Medical/pharmacy expenses ","Yes",20000,"Tier 0",0
"164",1001500181501,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1000,"Tier 0",0
"165",1001500181501,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"166",1001500181501,"Electricity and other fuels ","Yes",6000,"Tier 0",0
"167",1001500181501,"Mobile phone top-up  or bills","Yes",500,"Tier 0",0
"168",1001500181501,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"169",1001500181501,"House Rent","No",NA,"Tier 0",0
"170",1001500181501,"Transportation costs ","No",NA,"Tier 0",0
"171",1001500181501,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"172",1001500181503,"Medical/pharmacy expenses ","Yes",2000,"Tier 0",0
"173",1001500181503,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",500,"Tier 0",0
"174",1001500181503,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"175",1001500181503,"Electricity and other fuels ","Yes",1000,"Tier 0",0
"176",1001500181503,"Mobile phone top-up  or bills","Yes",500,"Tier 0",0
"177",1001500181503,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"178",1001500181503,"House Rent","No",NA,"Tier 0",0
"179",1001500181503,"Transportation costs ","Yes",1000,"Tier 0",0
"180",1001500181503,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"181",1001500181601,"Medical/pharmacy expenses ","No",NA,"Tier 0",0
"182",1001500181601,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1000,"Tier 0",0
"183",1001500181601,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"184",1001500181601,"Electricity and other fuels ","Yes",1200,"Tier 0",0
"185",1001500181601,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"186",1001500181601,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"187",1001500181601,"House Rent","No",NA,"Tier 0",0
"188",1001500181601,"Transportation costs ","Yes",500,"Tier 0",0
"189",1001500181601,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"190",1001500181605,"Medical/pharmacy expenses ","No",NA,"Tier 0",0
"191",1001500181605,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",400,"Tier 0",0
"192",1001500181605,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"193",1001500181605,"Electricity and other fuels ","Yes",300,"Tier 0",0
"194",1001500181605,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"195",1001500181605,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"196",1001500181605,"House Rent","No",NA,"Tier 0",0
"197",1001500181605,"Transportation costs ","Yes",2100,"Tier 0",0
"198",1001500181605,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"199",1001500181606,"Medical/pharmacy expenses ","Yes",1300,"Tier 0",0
"200",1001500181606,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",900,"Tier 0",0
"201",1001500181606,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"202",1001500181606,"Electricity and other fuels ","Yes",1200,"Tier 0",0
"203",1001500181606,"Mobile phone top-up  or bills","Yes",700,"Tier 0",0
"204",1001500181606,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"205",1001500181606,"House Rent","No",NA,"Tier 0",0
"206",1001500181606,"Transportation costs ","Yes",3300,"Tier 0",0
"207",1001500181606,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"208",1001500181702,"Medical/pharmacy expenses ","Yes",2600,"Tier 0",0
"209",1001500181702,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",2300,"Tier 0",0
"210",1001500181702,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"211",1001500181702,"Electricity and other fuels ","Yes",3400,"Tier 0",0
"212",1001500181702,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"213",1001500181702,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"214",1001500181702,"House Rent","No",NA,"Tier 0",0
"215",1001500181702,"Transportation costs ","Yes",5100,"Tier 0",0
"216",1001500181702,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"217",1001500181802,"Medical/pharmacy expenses ","No",NA,"Tier 0",0
"218",1001500181802,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",2000,"Tier 0",0
"219",1001500181802,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"220",1001500181802,"Electricity and other fuels ","No",NA,"Tier 0",0
"221",1001500181802,"Mobile phone top-up  or bills","Yes",800,"Tier 0",0
"222",1001500181802,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"223",1001500181802,"House Rent","No",NA,"Tier 0",0
"224",1001500181802,"Transportation costs ","Yes",2000,"Tier 0",0
"225",1001500181802,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"226",1001500181901,"Medical/pharmacy expenses ","Yes",3500,"Tier 0",0
"227",1001500181901,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",2000,"Tier 0",0
"228",1001500181901,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"229",1001500181901,"Electricity and other fuels ","Yes",1200,"Tier 0",0
"230",1001500181901,"Mobile phone top-up  or bills","Yes",600,"Tier 0",0
"231",1001500181901,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"232",1001500181901,"House Rent","No",NA,"Tier 0",0
"233",1001500181901,"Transportation costs ","No",NA,"Tier 0",0
"234",1001500181901,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"235",1001500182001,"Medical/pharmacy expenses ","Yes",5000,"Tier 0",0
"236",1001500182001,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1350,"Tier 0",0
"237",1001500182001,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"238",1001500182001,"Electricity and other fuels ","Yes",3000,"Tier 0",0
"239",1001500182001,"Mobile phone top-up  or bills","Yes",30,"Tier 0",0
"240",1001500182001,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"241",1001500182001,"House Rent","No",NA,"Tier 0",0
"242",1001500182001,"Transportation costs ","Yes",500,"Tier 0",0
"243",1001500182001,"Other recurring monthly expenditure ","Yes",30000,"Tier 0",0
"244",1001500182103,"Medical/pharmacy expenses ","Yes",5000,"Tier 0",0
"245",1001500182103,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",5000,"Tier 0",0
"246",1001500182103,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"247",1001500182103,"Electricity and other fuels ","Yes",2100,"Tier 0",0
"248",1001500182103,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"249",1001500182103,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"250",1001500182103,"House Rent","No",NA,"Tier 0",0
"251",1001500182103,"Transportation costs ","No",NA,"Tier 0",0
"252",1001500182103,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"253",1001500920601,"Medical/pharmacy expenses ","Yes",4000,"Tier 0",0
"254",1001500920601,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",800,"Tier 0",0
"255",1001500920601,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"256",1001500920601,"Electricity and other fuels ","Yes",5000,"Tier 0",0
"257",1001500920601,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"258",1001500920601,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"259",1001500920601,"House Rent","No",NA,"Tier 0",0
"260",1001500920601,"Transportation costs ","No",NA,"Tier 0",0
"261",1001500920601,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"262",1001500920603,"Medical/pharmacy expenses ","No",NA,"Tier 0",0
"263",1001500920603,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",1000,"Tier 0",0
"264",1001500920603,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"265",1001500920603,"Electricity and other fuels ","Yes",400,"Tier 0",0
"266",1001500920603,"Mobile phone top-up  or bills","Yes",2300,"Tier 0",0
"267",1001500920603,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"268",1001500920603,"House Rent","No",NA,"Tier 0",0
"269",1001500920603,"Transportation costs ","No",NA,"Tier 0",0
"270",1001500920603,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"271",1001500920801,"Medical/pharmacy expenses ","Yes",1200,"Tier 0",0
"272",1001500920801,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",900,"Tier 0",0
"273",1001500920801,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"274",1001500920801,"Electricity and other fuels ","Yes",4200,"Tier 0",0
"275",1001500920801,"Mobile phone top-up  or bills","Yes",1300,"Tier 0",0
"276",1001500920801,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"277",1001500920801,"House Rent","No",NA,"Tier 0",0
"278",1001500920801,"Transportation costs ","No",NA,"Tier 0",0
"279",1001500920801,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"280",1001500920902,"Medical/pharmacy expenses ","Yes",1530,"Tier 0",0
"281",1001500920902,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",820,"Tier 0",0
"282",1001500920902,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"283",1001500920902,"Electricity and other fuels ","Yes",4800,"Tier 0",0
"284",1001500920902,"Mobile phone top-up  or bills","Yes",1600,"Tier 0",0
"285",1001500920902,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"286",1001500920902,"House Rent","No",NA,"Tier 0",0
"287",1001500920902,"Transportation costs ","Yes",3700,"Tier 0",0
"288",1001500920902,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"289",1001500921301,"Medical/pharmacy expenses ","Yes",3000,"Tier 0",0
"290",1001500921301,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",4000,"Tier 0",0
"291",1001500921301,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"292",1001500921301,"Electricity and other fuels ","No",NA,"Tier 0",0
"293",1001500921301,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"294",1001500921301,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"295",1001500921301,"House Rent","No",NA,"Tier 0",0
"296",1001500921301,"Transportation costs ","No",NA,"Tier 0",0
"297",1001500921301,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"298",1001500921501,"Medical/pharmacy expenses ","Yes",1500,"Tier 0",0
"299",1001500921501,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",2000,"Tier 0",0
"300",1001500921501,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"301",1001500921501,"Electricity and other fuels ","Yes",3300,"Tier 0",0
"302",1001500921501,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"303",1001500921501,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"304",1001500921501,"House Rent","No",NA,"Tier 0",0
"305",1001500921501,"Transportation costs ","Yes",1500,"Tier 0",0
"306",1001500921501,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"307",1001500921507,"Medical/pharmacy expenses ","Yes",500,"Tier 0",0
"308",1001500921507,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",600,"Tier 0",0
"309",1001500921507,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"310",1001500921507,"Electricity and other fuels ","Yes",300,"Tier 0",0
"311",1001500921507,"Mobile phone top-up  or bills","Yes",500,"Tier 0",0
"312",1001500921507,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"313",1001500921507,"House Rent","No",NA,"Tier 0",0
"314",1001500921507,"Transportation costs ","Yes",200,"Tier 0",0
"315",1001500921507,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"316",1001500921603,"Medical/pharmacy expenses ","Yes",2000,"Tier 0",0
"317",1001500921603,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",400,"Tier 0",0
"318",1001500921603,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"319",1001500921603,"Electricity and other fuels ","Yes",200,"Tier 0",0
"320",1001500921603,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"321",1001500921603,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"322",1001500921603,"House Rent","No",NA,"Tier 0",0
"323",1001500921603,"Transportation costs ","No",NA,"Tier 0",0
"324",1001500921603,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"325",1001500921606,"Medical/pharmacy expenses ","Yes",800,"Tier 0",0
"326",1001500921606,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",500,"Tier 0",0
"327",1001500921606,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"328",1001500921606,"Electricity and other fuels ","Yes",800,"Tier 0",0
"329",1001500921606,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"330",1001500921606,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"331",1001500921606,"House Rent","No",NA,"Tier 0",0
"332",1001500921606,"Transportation costs ","No",NA,"Tier 0",0
"333",1001500921606,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"334",1001500922001,"Medical/pharmacy expenses ","Yes",1350,"Tier 0",0
"335",1001500922001,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",400,"Tier 0",0
"336",1001500922001,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"337",1001500922001,"Electricity and other fuels ","Yes",2000,"Tier 0",0
"338",1001500922001,"Mobile phone top-up  or bills","Yes",600,"Tier 0",0
"339",1001500922001,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"340",1001500922001,"House Rent","No",NA,"Tier 0",0
"341",1001500922001,"Transportation costs ","No",NA,"Tier 0",0
"342",1001500922001,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"343",1001500922101,"Medical/pharmacy expenses ","Yes",3000,"Tier 0",0
"344",1001500922101,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",500,"Tier 0",0
"345",1001500922101,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"346",1001500922101,"Electricity and other fuels ","Yes",2400,"Tier 0",0
"347",1001500922101,"Mobile phone top-up  or bills","No",NA,"Tier 0",0
"348",1001500922101,"Internet, land phone, dish, cable, and other household communication","No",NA,"Tier 0",0
"349",1001500922101,"House Rent","No",NA,"Tier 0",0
"350",1001500922101,"Transportation costs ","Yes",2000,"Tier 0",0
"351",1001500922101,"Other recurring monthly expenditure ","No",NA,"Tier 0",0
"352",1001500922103,"Medical/pharmacy expenses ","Yes",500,"Tier 0",0
"353",1001500922103,"Soaps, disinfectants and cleaning supplies; cosmetics and toiletries","Yes",600,"Tier 0",0
"354",1001500922103,"Water supply for drinking and other uses ","No",NA,"Tier 0",0
"355",1001500922103,"Electricity and other fuels ","Yes",3000,"Tier 0",0
