"","hh_id","e1","c136__1","c136__2","c136__3","e_start","index_random_2","index_random_3","random_percentage_3","e_2","solar_system","solar_full_price","solar_price","e_amount","e_3","e_3b","e_3b_oth","e_4","e_4b","e_4b_oth","e_5","e_5b","e_5b_oth","e_6","e_7","e_7_oth","elc_aggr_tier","locality"
"35",1001500921507,"No","No","No","No","2017-11-16T04:34:42-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"36",1001500921603,"No","No","No","No","2017-11-16T05:43:38-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"37",1001500921606,"No","No","No","No","2017-11-16T05:47:37-05:00",0,1,0.66,1,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"38",1001500922001,"No","No","No","No","2017-11-16T07:01:50-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"No","Maintenance/servicing of device is not available","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"39",1001500922101,"No","No","No","No","2017-11-16T06:48:33-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"40",1001500922103,"No","No","No","No","2017-11-16T07:49:16-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"41",1001500922202,"No","No","No","No","2017-11-16T08:05:26-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Maintenance/servicing of device is not available","","No","Maintenance/servicing of device is not available","","No","Cannot afford the payment","","No","Maintenance/servicing of device is not available","","Tier 0",0
"42",1001500922702,"No","No","No","No","2017-11-16T07:06:02-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"43",1002500360201,"No","No","No","No","2017-12-01T06:21:43-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"44",1002500360406,"No","No","No","No","2017-12-01T07:09:23-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"45",1002500360407,"No","No","No","No","2017-12-01T06:35:01-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"46",1002500360501,"No","No","No","No","2017-12-01T06:37:18-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"47",1002500360601,"No","No","No","No","2017-12-01T09:32:57-05:00",0,2,1,3,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"","Tier 0",0
"48",1002500360602,"No","No","No","No","2017-12-01T07:27:01-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"49",1002500360802,"No","No","No","No","2017-12-01T07:21:11-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"50",1002500360901,"No","No","No","No","2017-12-01T07:55:59-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"51",1002500361001,"No","No","No","No","2017-12-01T08:22:29-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"52",1002500361102,"No","No","No","No","2017-12-01T08:44:21-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"53",1002500361302,"No","No","No","No","2017-12-01T08:42:22-05:00",0,0,0.33,2,"Tier 1",9000,2970,2970,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"54",1002500361503,"No","No","No","No","2017-12-01T09:45:42-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"55",1002500361505,"No","No","No","No","2017-12-01T07:54:11-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"","Tier 0",0
"56",1002500361602,"No","No","No","No","2017-12-01T09:16:37-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"57",1003504600102,"No","No","No","No","2017-11-13T04:59:27-05:00",1,1,0.66,4,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"58",1003504600104,"No","No","No","No","2017-11-13T05:06:06-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"59",1003504600206,"No","No","No","No","2017-11-13T07:19:22-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"60",1003504600501,"No","No","No","No","2017-11-13T05:06:46-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"61",1003504600603,"No","No","No","No","2017-11-13T06:29:02-05:00",0,1,0.66,1,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"62",1003504600607,"No","No","No","No","2017-11-13T06:08:58-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"63",1003504600609,"No","No","No","No","2017-11-13T06:20:14-05:00",1,0,0.33,1,"Tier 2",1e+05,33000,33000,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"64",1003504600612,"No","No","No","No","2017-11-13T07:43:38-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"65",1003504600802,"No","No","No","No","2017-11-13T06:29:16-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"66",1003504601001,"No","No","No","No","2017-11-13T07:41:53-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"67",1003504601402,"No","No","No","No","2017-11-13T09:15:44-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"68",1003504601701,"No","No","No","No","2017-11-13T04:49:10-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"69",1003504601803,"No","No","No","No","2017-11-13T07:46:11-05:00",0,0,0.33,2,"Tier 1",9000,2970,2970,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"70",1003504602401,"No","No","No","No","2017-11-13T08:57:35-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"71",1003514380401,"No","No","No","No","2017-11-12T07:59:46-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","Don't know","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",1
"72",1003514380803,"No","No","No","No","2017-11-12T08:53:56-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",1
"73",1003514380805,"No","No","No","No","2017-11-12T09:01:54-05:00",0,0,0.33,2,"Tier 1",9000,2970,2970,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",1
"74",1003514381205,"No","No","No","No","2017-11-12T06:59:09-05:00",0,2,1,3,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",1
"75",1003514381901,"No","No","No","No","2017-11-12T08:29:09-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","Don't know","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",1
"76",1003514383001,"No","No","No","No","2017-11-12T05:04:57-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",1
"77",1003514383201,"No","No","No","No","2017-11-12T07:47:53-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Maintenance/servicing of device is not available","","No","Maintenance/servicing of device is not available","","No","Maintenance/servicing of device is not available","","No","Cannot afford the payment","","Tier 0",1
"78",1003514384001,"No","No","No","No","2017-11-12T06:30:59-05:00",1,2,1,3,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",1
"79",1003514384104,"No","No","No","No","2017-11-12T07:41:16-05:00",0,0,0.33,2,"Tier 1",9000,2970,2970,"No","Cannot afford the payment","","No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"","Tier 0",1
"80",1003514384902,"No","No","No","No","2017-11-12T06:12:38-05:00",0,1,0.66,1,"Tier 1",9000,5940,5940,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",1
"81",1003514385301,"No","No","No","No","2017-11-12T04:57:44-05:00",1,1,0.66,2,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"","Tier 0",1
"82",1003514385303,"No","No","No","No","2017-11-12T04:53:33-05:00",0,1,0.66,1,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Maintenance/servicing of device is not available","","No","Maintenance/servicing of device is not available","","No","Cannot afford the payment","","Tier 0",1
"83",1003514385305,"No","No","No","No","2017-11-12T04:50:11-05:00",1,1,0.66,2,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","Don't know","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",1
"84",1003514385706,"No","No","No","Yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 1",1
"85",1004500060202,"No","No","No","No","2017-11-20T05:42:10-05:00",0,1,0.66,1,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"86",1004500060304,"No","No","No","No","2017-11-23T10:18:37-05:00",0,0,0.33,2,"Tier 1",9000,2970,2970,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"87",1004500060401,"Yes","No","No","Yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 3",0
"88",1004500060701,"Yes","No","No","No","2017-11-19T05:38:39-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"89",1004500060703,"Yes","No","No","No","2017-11-23T07:19:35-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"","Tier 3",0
"90",1004500060801,"No","No","No","No","2017-11-23T07:57:58-05:00",1,2,1,2,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"91",1004500061004,"Yes","No","No","No","2017-11-23T10:17:05-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 2",0
"92",1004500061301,"No","No","No","No","2017-11-23T08:59:51-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"93",1004500061303,"No","No","No","No","2017-11-19T06:46:28-05:00",1,1,0.66,2,"Tier 2",1e+05,66000,66000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"94",1004500061601,"No","No","No","No","2017-11-23T08:29:41-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"95",1004500061802,"No","No","No","No","2017-11-20T05:52:34-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"96",1004500061902,"No","No","No","No","2017-11-20T07:00:06-05:00",0,1,0.66,4,"Tier 1",9000,5940,5940,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"97",1004500062002,"No","No","No","No","2017-11-23T08:52:34-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"No","Other, specify","I don't need  it","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"98",1004500062301,"No","No","No","No","2017-11-23T07:54:48-05:00",1,0,0.33,1,"Tier 2",1e+05,33000,33000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"99",1004503360102,"No","No","No","No","2017-11-16T08:37:50-05:00",1,1,0.66,2,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"100",1004503361901,"No","No","No","No","2017-11-16T07:45:17-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"101",1004503363001,"No","No","No","No","2017-11-16T06:31:52-05:00",0,0,0.33,2,"Tier 1",9000,2970,2970,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"102",1004503363201,"No","No","No","No","2017-11-16T05:49:34-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"","Tier 0",0
"103",1004503363801,"No","No","No","No","2017-11-16T07:11:38-05:00",1,2,1,3,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"104",1004503364404,"No","No","No","No","2017-11-16T08:30:14-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"105",1004503364406,"No","No","No","No","2017-11-16T07:40:51-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"106",1004503364501,"No","No","No","No","2017-11-16T05:56:07-05:00",0,0,0.33,2,"Tier 1",9000,2970,2970,"No","Maintenance/servicing of device is not available","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"107",1004503364801,"No","No","No","No","2017-11-16T05:43:25-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"108",1004503365501,"No","No","No","No","2017-11-16T09:25:49-05:00",0,1,0.66,2,"Tier 1",9000,5940,5940,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"109",1004503366101,"No","No","No","No","2017-11-16T10:25:55-05:00",0,2,1,2,"Tier 1",9000,9000,9000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"110",1004503366501,"No","No","No","No","2017-11-15T07:23:52-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"111",1004503366901,"No","No","No","No","2017-11-15T08:02:50-05:00",0,0,0.33,1,"Tier 1",9000,2970,2970,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"112",1004503367102,"No","No","No","No","2017-11-15T09:43:47-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"113",1005513600301,"No","No","No","No","2017-11-17T09:31:18-05:00",0,2,1,1,"Tier 1",9000,9000,9000,"No","Cannot afford the payment","","Yes",NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"114",1005513600402,"No","No","No","No","2017-11-17T08:48:49-05:00",1,0,0.33,2,"Tier 2",1e+05,33000,33000,"No","Cannot afford the payment","","No","Cannot afford the payment","","Yes",NA,"",NA,NA,"","Tier 0",0
"115",1005513600404,"No","No","No","No","2017-11-17T08:53:51-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","No","Cannot afford the payment","","Tier 0",0
"116",1005513600702,"No","No","No","No","2017-11-17T07:22:06-05:00",1,2,1,1,"Tier 2",1e+05,1e+05,1e+05,"Yes",NA,"",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
"117",1005513600801,"No","No","No","No","2017-11-17T06:24:13-05:00",1,1,0.66,1,"Tier 2",1e+05,66000,66000,"No","I am satisfied with my current electricity/energy source","",NA,NA,"",NA,NA,"",NA,NA,"","Tier 0",0
