"","hh_id","i_cookstove__id","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13a","i13b","i14__111","i14__1","i14__2","i14__3","i14__4","i14__5","i14__6","i14__7","i14__8","i14__9","i14__10","i14__11","i14__12","i15","i16","i16_oth","i17","i18","i19a","i19b","i20a","i20b","i21","i22","i23","i24","i25","i26","i27","i31__1","i31__2","i31__3","i31__4","i31__5","i31__6","i31__7","i31__8","i31__9","i32","i32_oth","i33","i35","i36a","i36b","interview__key","elc_aggr_tier","locality"
"14",1000506122902,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,2,2,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In a veranda (roofed platform with at least two open sides)","",NA,NA,"Wood collected","Not applicable","Always available",NA,4,7,2,21,0,56,15,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"87-57-54-94","Tier 1",0
"15",1001500180104,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,5,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Mostly available",NA,5,7,2,100,0,120,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"52-05-42-61","Tier 0",0
"16",1001500180107,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,7,6,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Mostly available",NA,5,7,2,37,0,57,5,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"54-97-85-36","Tier 0",0
"17",1001500180201,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,25,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,2,7,2,120,0,120,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"79-53-13-48","Tier 0",0
"18",1001500180702,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,37,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Wood collected","Mostly available","Sometimes available",5,7,2,60,0,90,10,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",0,0,"09-60-14-59","Tier 0",0
"19",1001500181501,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,40,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Always available","Sometimes available",10,7,3,80,60,120,10,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",6000,0,"98-90-11-17","Tier 0",0
"20",1001500181503,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,6,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Not applicable","Mostly available",NA,5,7,2,40,80,120,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",1000,NA,"83-42-19-70","Tier 0",0
"21",1001500181601,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,50,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Always available","Mostly available",5,2,7,60,0,120,15,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",1200,0,"32-29-54-86","Tier 0",0
"22",1001500181605,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,45,2,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,20,7,2,28,0,49,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"33-55-59-68","Tier 0",0
"23",1001500181606,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,9,3,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Wood collected","Always available","Sometimes available",6,7,2,14,0,44,8,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"36-36-20-09","Tier 0",0
"24",1001500181702,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,30,6,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Wood collected","Always available","Sometimes available",13,7,3,26,47,54,8,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",1400,0,"90-70-74-06","Tier 0",0
"25",1001500181802,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,4,11,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood collected","Garbage/plastic","Always available","Rarely available",5,7,2,40,0,120,180,"No","Yes","No","No","No","No","No","No","No","Yes","","Yes","Yes",0,0,"01-85-24-04","Tier 0",0
"26",1001500181901,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,30,11,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Wood collected","Mostly available","Sometimes available",10,7,2,120,0,190,180,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",1200,0,"72-62-45-86","Tier 0",0
"27",1001500182001,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,25,11,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Garbage/plastic","Always available","Sometimes available",5,7,2,120,0,190,100,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",3000,0,"99-10-02-63","Tier 0",0
"28",1001500182103,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,8,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Not applicable","Mostly available",NA,10,7,3,60,120,120,0,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",1200,NA,"83-48-53-07","Tier 0",0
"29",1001500182103,2,"Koresone Stove","Purchased, upfront","Head",1000,NA,"No","Shanghai  shengznong  metal production  made in china",1500,NA,1,8,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","In dwelling, in a sleeping area","",NA,NA,"Kerosene","Not applicable","Mostly available",NA,1,7,1,30,0,0,14,"No","No","No","No","No","No","No","No","Yes",NA,"","No",NA,900,NA,"83-48-53-07","Tier 0",0
"30",1001500920601,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,25,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Wood collected","Always available","Sometimes available",7,7,2,45,0,120,50,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",5000,0,"17-06-81-86","Tier 0",0
"31",1001500920603,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,10,8,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Animal Waste/Dung","Always available","Sometimes available",4,7,2,0,46,52,9,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"35-31-31-49","Tier 0",0
"32",1001500920801,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,25,4,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Mostly available","Always available",13,7,2,28,0,54,8,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",3000,0,"81-43-81-58","Tier 0",0
"33",1001500920902,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,3,3,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Animal Waste/Dung","Always available","Sometimes available",8,7,2,29,0,58,16,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",4000,0,"69-82-60-78","Tier 0",0
"34",1001500921301,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,20,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Not applicable","Always available",NA,5,7,2,60,0,120,5,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",0,NA,"69-27-62-43","Tier 0",0
"35",1001500921501,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,9,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Not applicable","Mostly available",NA,2,7,2,60,0,120,7,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",3300,NA,"63-78-41-51","Tier 0",0
"36",1001500921507,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,35,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Always available","Sometimes available",5,7,3,50,60,90,10,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",300,0,"32-29-58-91","Tier 0",0
"37",1001500921603,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,30,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Wood purchased","Mostly available","Always available",5,7,3,70,60,120,10,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",0,200,"16-67-24-58","Tier 0",0
"38",1001500921606,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,10,888,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Mostly available","Sometimes available",5,7,2,60,0,190,160,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",800,0,"27-25-14-30","Tier 0",0
"39",1001500922001,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,15,11,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Mostly available","Rarely available",5,7,2,60,0,120,40,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",2000,0,"91-75-89-52","Tier 0",0
"40",1001500922101,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,15,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Not applicable","Always available",NA,5,7,2,40,0,80,15,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",2400,NA,"25-33-07-41","Tier 0",0
"41",1001500922103,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,10,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Not applicable","Always available",NA,7,7,3,40,30,90,10,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",3000,NA,"48-10-71-39","Tier 0",0
"42",1001500922202,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,18,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Always available","Rarely available",5,7,2,120,0,170,40,"No","Yes","No","No","No","No","No","No","No","Yes","","Yes","Yes",1500,0,"25-10-26-57","Tier 0",0
"43",1001500922702,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,10,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Mostly available",NA,5,7,2,60,0,120,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"23-81-70-56","Tier 0",0
"44",1002500360201,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,13,6,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Crop Residue/Plant Biomass","Mostly available","Always available",13,7,2,0,58,42,24,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"04-54-80-24","Tier 0",0
"45",1002500360406,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,15,4,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Mostly available","Mostly available",6,7,1,0,58,0,28,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"69-39-21-42","Tier 0",0
"46",1002500360407,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,25,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,5,7,1,0,120,0,10,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"27-33-51-22","Tier 0",0
"47",1002500360501,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,17,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,10,7,3,30,50,60,14,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"26-25-15-95","Tier 0",0
"48",1002500360601,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,20,1,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood collected","Crop Residue/Plant Biomass","Mostly available","Mostly available",7,7,2,46,0,58,24,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"57-08-12-59","Tier 0",0
"49",1002500360602,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,20,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,5,7,2,90,0,120,10,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"39-90-03-46","Tier 0",0
"50",1002500360802,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,4,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Not applicable","Always available",NA,5,7,2,30,0,120,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",1200,NA,"57-36-70-19","Tier 0",0
"51",1002500360901,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,50,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,2,7,2,70,0,60,17,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",0,NA,"61-94-16-44","Tier 0",0
"52",1002500361001,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,13,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Wood purchased","Always available","Sometimes available",5,7,2,40,0,150,15,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"10-12-14-36","Tier 0",0
"53",1002500361102,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,5,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,3,7,3,60,40,150,15,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,NA,"58-23-78-68","Tier 0",0
"54",1002500361302,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,19,9,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Wood collected","Crop Residue/Plant Biomass","Mostly available","Always available",7,7,2,0,54,49,27,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"62-38-24-04","Tier 0",0
"55",1002500361503,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,10,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Not applicable","Always available",NA,5,7,2,60,0,180,15,"No","No","No","No","Yes","No","No","No","No","No","","Yes","Yes",0,NA,"28-45-36-83","Tier 0",0
"56",1002500361505,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,45,4,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood collected","Crop Residue/Plant Biomass","Always available","Sometimes available",7,7,1,56,0,0,19,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"25-89-53-70","Tier 0",0
"57",1002500361602,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,30,11,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Wood collected","Mostly available","Mostly available",5,7,3,40,60,80,7,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",400,0,"68-91-12-95","Tier 0",0
"58",1003504600102,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,4,5,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Wood purchased","Always available","Always available",5,7,2,16,0,49,5,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",0,1500,"54-20-35-03","Tier 0",0
"59",1003504600104,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,30,11,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Wood collected","Garbage/plastic","Always available","Sometimes available",5,7,3,70,30,180,80,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",0,0,"93-08-99-06","Tier 0",0
"60",1003504600104,2,NA,NA,NA,NA,NA,NA,"",NA,"Yes",NA,4,2,"No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Moveable","In dwelling, NOT in sleeping area","","No",NA,"Charcoal","Garbage/plastic","Rarely available","Sometimes available",10,0,0,0,0,0,0,"No","No","No","No","No","No","No","No","Yes",NA,"","No",NA,0,0,"93-08-99-06","Tier 0",0
"61",1003504600206,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,10,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Wood purchased","Crop Residue/Plant Biomass","Always available","Sometimes available",3,7,2,90,0,120,10,"No","No","No","No","Yes","No","No","No","No","No","","Yes","Yes",3000,400,"21-21-74-99","Tier 0",0
"62",1003504600501,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,25,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Wood collected","Mostly available","Sometimes available",5,7,3,90,60,120,20,"No","No","No","No","No","No","No","No","Yes",NA,"","Yes","Yes",3000,300,"87-29-16-07","Tier 0",0
"63",1003504600603,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,20,11,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Fixed","In dwelling, NOT in sleeping area","",NA,NA,"Crop Residue/Plant Biomass","Animal Waste/Dung","Mostly available","Rarely available",5,7,3,45,30,120,180,"No","No","No","No","Yes","No","No","No","No","Yes","","Yes","Yes",0,100,"47-34-32-20","Tier 0",0
"64",1003504600607,1,"3-Stone/Open Fire Stove",NA,NA,NA,NA,NA,"",NA,NA,NA,9,0,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","Moveable","Outdoors","",NA,NA,"Crop Residue/Plant Biomass","Animal Waste/Dung","Mostly available","Sometimes available",5,7,2,60,0,90,10,"No","No","No","Yes","No","No","No","No","No","Yes","","Yes","Yes",600,500,"00-89-32-92","Tier 0",0
