"","hh_id","k_start","k1","k2","index_random_3b","random_number_1","index_random_2b","fuelwood_stove_type","wood_full_price","random_percentage_price_fuel","k_amount_1","k3","k3a","wood_6month","k4","k5","k5_oth","wood_12month","k6","k7","k7_oth","wood_24month","k8","k9","k9_oth","charcoal_stove_type","charc_full_price","charcoal_part_price","k_amount_2","k3_charcoal","k3a_charcoal","charcoal_6month","k4_charcoal","k5_charcoal","k5_oth_charcoal","charcoal_12month","k6_charcoal","k7_charcoal","k7_oth_charcoal","charcoal_24month","k8_charcoal","k9_charcoal","k9_oth_charcoal","elc_aggr_tier","locality"
"11",1000506122402,"2017-11-20T09:45:05-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"12",1000506122702,"2017-11-20T10:54:58-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"13",1000506122801,"2017-11-20T08:25:24-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"Yes",NA,1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"14",1000506122902,"2017-11-20T09:27:38-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"Yes",NA,1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 1",0
"15",1001500180104,"2017-11-15T09:33:57-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"Yes",NA,660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"16",1001500180107,"2017-11-15T05:35:55-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"Yes",NA,660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"17",1001500180201,"2017-11-15T08:46:16-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Do not need an improved cookstove",990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"18",1001500180702,"2017-11-15T07:53:33-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Do not need an improved cookstove",495,NA,NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"19",1001500181501,"2017-11-15T05:20:27-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Cannot afford the payment",495,"Yes",NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"20",1001500181503,"2017-11-15T05:22:56-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"Yes",NA,660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"21",1001500181601,"2017-11-15T06:57:09-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"22",1001500181605,"2017-11-15T08:19:14-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"23",1001500181606,"2017-11-15T09:42:07-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Cannot afford the payment",1320,"No","Cannot afford the payment","",660,"Yes",NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"24",1001500181702,"2017-11-15T07:21:59-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Do not need an improved cookstove",495,NA,NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"25",1001500181802,"2017-11-15T05:32:17-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Do not need an improved cookstove",990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"26",1001500181901,"2017-11-15T07:12:05-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"27",1001500182001,"2017-11-15T08:57:00-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Do not need an improved cookstove",495,NA,NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"28",1001500182103,"2017-11-15T07:26:31-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"Yes",NA,660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"29",1001500920601,"2017-11-16T04:59:19-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Do not need an improved cookstove",990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"30",1001500920603,"2017-11-16T04:56:09-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Cannot afford the payment",1320,"No","Cannot afford the payment","",660,"Yes",NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"31",1001500920801,"2017-11-16T06:04:39-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Cannot afford the payment",660,"Yes",NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"32",1001500920902,"2017-11-16T07:08:16-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"Yes",NA,1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"33",1001500921301,"2017-11-16T06:21:03-05:00","HH uses more firewood or crop residues or other biomass than charcoal",3,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Do not need an improved cookstove",495,NA,NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"34",1001500921501,"2017-11-16T05:12:17-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Do not need an improved cookstove",495,NA,NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"35",1001500921507,"2017-11-16T04:51:38-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"36",1001500921603,"2017-11-16T05:59:24-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"Yes",NA,495,NA,NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"37",1001500921606,"2017-11-16T06:05:23-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Cannot afford the payment",990,"No","Cannot afford the payment","",495,"Yes",NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"38",1001500922001,"2017-11-16T07:16:05-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Do not need an improved cookstove",990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"39",1001500922101,"2017-11-16T07:04:03-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Do not need an improved cookstove",990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"40",1001500922103,"2017-11-16T08:02:02-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"41",1001500922202,"2017-11-16T08:15:43-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Do not need an improved cookstove",990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"42",1001500922702,"2017-11-16T07:16:07-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"Yes",NA,990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"43",1002500360201,"2017-12-01T06:30:24-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Cannot afford the payment",1320,"No","Cannot afford the payment","",660,"No","Cannot afford the payment","",330,"Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"44",1002500360406,"2017-12-01T07:20:53-05:00","HH uses more firewood or crop residues or other biomass than charcoal",3,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Cannot afford the payment",990,"No","Cannot afford the payment","",495,"Yes",NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"45",1002500360407,"2017-12-01T06:41:06-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"46",1002500360501,"2017-12-01T06:47:41-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"47",1002500360601,"2017-12-01T09:41:44-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Cannot afford the payment",990,"No","Cannot afford the payment","",495,"No","Cannot afford the payment","",247,"Yes",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"48",1002500360602,"2017-12-01T07:37:55-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Do not need an improved cookstove",990,NA,NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"49",1002500360802,"2017-12-01T07:32:00-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Cannot afford the payment",1320,"No","Cannot afford the payment","",660,"No","Cannot afford the payment","",330,"No","Cannot afford the payment","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"50",1002500360901,"2017-12-01T08:07:46-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"51",1002500361001,"2017-12-01T08:43:45-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"52",1002500361102,"2017-12-01T08:51:57-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"53",1002500361302,"2017-12-01T08:52:18-05:00","HH uses more firewood or crop residues or other biomass than charcoal",3,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Cannot afford the payment",990,"Yes",NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"54",1002500361503,"2017-12-01T09:57:39-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"55",1002500361505,"2017-12-01T08:02:46-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Cannot afford the payment",495,"No","Cannot afford the payment","",247,"Yes",NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"56",1002500361602,"2017-12-01T09:28:24-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Do not need an improved cookstove",495,NA,NA,"",247,NA,NA,"",123,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"57",1003504600102,"2017-11-13T05:20:56-05:00","HH uses more firewood or crop residues or other biomass than charcoal",3,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Cannot afford the payment",495,"No","Cannot afford the payment","",247,"No","Cannot afford the payment","",123,"888","Cannot afford the payment","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"58",1003504600104,"2017-11-13T05:31:42-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"59",1003504600206,"2017-11-13T07:37:58-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"No","Do not need an improved cookstove",1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"60",1003504600501,"2017-11-13T05:24:56-05:00","HH uses more firewood or crop residues or other biomass than charcoal",1,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"61",1003504600603,"2017-11-13T06:47:06-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"62",1003504600607,"2017-11-13T06:27:47-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Cannot afford the payment",990,"No","Do not need an improved cookstove","",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"63",1003504600609,"2017-11-13T06:41:43-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,1,"Popular affordable wood ICS available in local market.",9000,5940,5940,"No","Cannot afford the payment",990,"Yes",NA,"",495,NA,NA,"",247,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"64",1003504600612,"2017-11-13T08:01:10-05:00","HH uses more firewood or crop residues or other biomass than charcoal",3,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"Yes",NA,1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"65",1003504600802,"2017-11-13T06:55:19-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Cannot afford the payment",660,"No","Cannot afford the payment","",330,"No","Do not need an improved cookstove","",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"66",1003504601001,"2017-11-13T08:00:41-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,0,"Aspirational wood ICS available in country",12000,3960,3960,"No","Do not need an improved cookstove",660,NA,NA,"",330,NA,NA,"",165,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"67",1003504601402,"2017-11-13T09:35:56-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,1,0.66,0,"Aspirational wood ICS available in country",12000,7920,7920,"Yes",NA,1320,NA,NA,"",660,NA,NA,"",330,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
"68",1003504601701,"2017-11-13T05:14:10-05:00","HH uses more firewood or crop residues or other biomass than charcoal",2,0,0.33,1,"Popular affordable wood ICS available in local market.",9000,2970,2970,"No","Cannot afford the payment",495,"No","Cannot afford the payment","",247,"No","Cannot afford the payment","",123,"No","Cannot afford the payment","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tier 0",0
